Zip Code|Bin Code
45645|D64-E-437
45659|D64-E-437
45669|D64-N-4008
45675|D64-E-437
45688|D64-E-437
47102|D64-L-2000
47110|D64-K-1004
47129|D64-G-602
47130|D64-G-602
47132|D64-G-602
47133|D64-G-602
47134|D64-G-602
47142|D64-K-1004
47144|D64-G-602
47150|D64-G-603
47151|D64-G-603
47170|D64-L-2000
47190|D64-G-602
47199|D64-G-602
47224|D64-N-4003
47243|D64-N-4003
47250|D64-N-4003
72301|D64-M-3000
72303|D64-M-3000
72401|D64-E-442
72404|D64-E-442
72405|D64-E-442
72416|D64-E-442
242|S64-A-004
246|S64-A-001
247|S64-A-001
248|S64-A-001
249|S64-A-001
250|S64-A-001
251|S64-A-001
252|S64-A-001
253|S64-A-001
255|S64-A-001
256|S64-A-001
257|S64-A-001
258|S64-A-001
259|S64-A-001
261|S64-A-001
262|S64-A-001
263|S64-A-001
264|S64-A-001
266|S64-A-001
298|S64-A-007
304|S64-A-008
307|S64-A-003
308|S64-A-007
309|S64-A-007
310|S64-A-008
312|S64-A-008
318|S64-A-008
319|S64-A-008
370|S64-A-002
371|S64-A-002
372|S64-A-002
373|S64-A-003
374|S64-A-003
375|S64-A-005
376|S64-A-004
377|S64-A-004
378|S64-A-004
379|S64-A-004
380|S64-A-005
381|S64-A-005
382|S64-A-005
383|S64-A-005
384|S64-A-002
385|S64-A-002
386|S64-A-005
387|S64-A-005
388|S64-A-005
389|S64-A-005
400|S64-A-006
401|S64-A-006
402|S64-A-006
407|S64-A-004
408|S64-A-004
409|S64-A-004
411|S64-A-001
412|S64-A-001
415|S64-A-001
416|S64-A-001
417|S64-A-004
418|S64-A-004
421|S64-A-002
422|S64-A-002
425|S64-A-004
426|S64-A-004
427|S64-A-006
471|S64-A-006
030|S64-I-814
031|S64-I-814
032|S64-I-814
033|S64-I-814
034|S64-I-814
035|S64-I-814
036|S64-I-814
037|S64-I-814
038|S64-I-814
050|S64-I-814
051|S64-I-814
052|S64-I-814
053|S64-I-814
057|S64-I-814
058|S64-I-814
059|S64-I-814
723|S64-A-005
724|S64-A-005
206|S64-I-822
207|S64-I-822
210|S64-I-824
211|S64-I-824
212|S64-I-823
214|S64-I-824
215|S64-I-823
216|S64-I-821
217|S64-I-823
218|S64-I-821
219|S64-I-823
224|S64-H-707
225|S64-H-707
228|S64-H-707
229|S64-H-707
230|S64-H-707
231|S64-H-707
232|S64-H-707
238|S64-H-707
239|S64-H-707
240|S64-O-5002
241|S64-O-5002
243|S64-O-5002
244|S64-H-707
245|S64-O-5002
267|S64-I-823
270|S64-O-5000
271|S64-O-5000
272|S64-O-5000
273|S64-O-5000
274|S64-O-5000
286|S64-O-5000
290|S64-H-700
291|S64-H-700
292|S64-H-700
295|S64-H-700
300|S64-H-715
305|S64-H-715
306|S64-H-715
313|S64-H-702
314|S64-H-702
315|S64-H-702
316|S64-H-710
317|S64-H-710
320|S64-H-702
322|S64-H-702
323|S64-H-710
326|S64-H-702
344|S64-H-702
369|S64-O-5006
390|S64-O-5006
391|S64-O-5006
392|S64-O-5006
393|S64-O-5006
396|S64-O-5006
397|S64-O-5006
398|S64-H-710
403|S64-H-714
404|S64-H-714
405|S64-H-714
406|S64-H-714
410|S64-I-818
413|S64-H-714
414|S64-H-714
420|S64-H-705
423|S64-H-705
424|S64-H-705
430|S64-H-704
431|S64-H-704
432|S64-H-704
433|S64-H-704
437|S64-H-704
438|S64-H-704
450|S64-I-818
451|S64-I-818
452|S64-I-818
456|S64-H-704
457|S64-H-704
458|S64-H-704
459|S64-I-818
460|S64-H-701
461|S64-H-701
462|S64-H-701
469|S64-H-701
470|S64-I-818
472|S64-H-701
474|S64-H-701
475|S64-H-705
476|S64-H-705
477|S64-H-705
478|S64-H-701
479|S64-H-701
500|S64-O-5008
501|S64-O-5008
502|S64-O-5008
503|S64-O-5008
505|S64-O-5008
508|S64-O-5008
509|S64-O-5008
514|S64-O-5008
515|S64-H-713
516|S64-H-713
525|S64-O-5008
620|S64-O-5004
622|S64-O-5004
628|S64-O-5004
629|S64-O-5004
630|S64-O-5004
631|S64-O-5004
633|S64-O-5004
634|S64-O-5004
635|S64-O-5003
636|S64-O-5004
637|S64-O-5004
638|S64-O-5004
639|S64-O-5004
640|S64-H-706
641|S64-H-706
644|S64-H-706
645|S64-H-706
646|S64-H-706
647|S64-H-706
648|S64-O-5005
649|S64-H-706
650|S64-O-5003
651|S64-O-5003
652|S64-O-5003
653|S64-O-5003
654|S64-O-5005
655|S64-O-5005
656|S64-O-5005
657|S64-O-5005
658|S64-O-5005
660|S64-H-706
661|S64-H-706
662|S64-H-706
664|S64-H-706
665|S64-H-706
666|S64-H-706
667|S64-H-706
668|S64-H-706
680|S64-H-713
681|S64-H-713
683|S64-H-713
684|S64-H-713
685|S64-H-713
686|S64-H-713
687|S64-H-713
688|S64-H-713
689|S64-H-713
710|S64-H-709
711|S64-H-709
712|S64-H-709
713|S64-H-709
714|S64-H-709
716|S64-H-708
717|S64-H-708
718|S64-H-709
719|S64-H-708
720|S64-H-708
721|S64-H-708
722|S64-H-708
725|S64-H-708
726|S64-O-5001
727|S64-O-5001
728|S64-H-708
729|S64-O-5001
730|S64-H-711
731|S64-H-711
734|S64-H-711
735|S64-H-711
736|S64-H-711
737|S64-H-711
738|S64-H-711
748|S64-H-711
750|S64-O-5007
754|S64-O-5007
755|S64-H-709
756|S64-H-709
757|S64-O-5007
758|S64-O-5007
759|S64-H-709
760|S64-H-712
761|S64-H-712
762|S64-H-712
763|S64-H-712
764|S64-H-712
766|S64-H-712
767|S64-H-712
800|S64-H-703
801|S64-H-703
802|S64-H-703
803|S64-H-703
804|S64-H-703
805|S64-H-703
806|S64-H-703
807|S64-H-703
808|S64-H-703
809|S64-H-703
810|S64-H-703
811|S64-H-703
812|S64-H-703
813|S64-I-816
850|S64-I-820
851|S64-I-820
852|S64-I-820
853|S64-I-820
855|S64-I-820
856|S64-I-815
857|S64-I-815
859|S64-I-820
860|S64-I-820
863|S64-I-820
864|S64-I-819
865|S64-I-816
870|S64-I-816
871|S64-I-816
873|S64-I-816
874|S64-I-816
875|S64-I-816
876|S64-I-816
877|S64-I-816
878|S64-I-816
879|S64-I-816
884|S64-I-816
889|S64-I-819
890|S64-I-819
891|S64-I-819
893|S64-I-819
919|S64-I-817
920|S64-I-817
921|S64-I-817
