Carrier|Service|Container Type|Weight Not Over Oz|Cost Zone 1|Cost Zone 2|Cost Zone 3|Cost Zone 4|Cost Zone 5|Cost Zone 6|Cost Zone 7|Cost Zone 8|Cost Zone 9|Cost Zone Ddu|Cost Zone Scf|Cost Zone Ndc|Cost Zone Ddu Out 48|Cost Zone Scf Out 48|Cost Zone Ndc Out 48|Charge Zone 1|Charge Zone 2|Charge Zone 3|Charge Zone 4|Charge Zone 5|Charge Zone 6|Charge Zone 7|Charge Zone 8|Charge Zone 9|Charge Zone Ddu|Charge Zone Scf|Charge Zone Ndc|Charge Zone Ddu Out 48|Charge Zone Scf Out 48|Charge Zone Ndc Out 48
USPS|FIRST_CLASS|PACKAGE|13|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|0|0|0|0|0|0|4.04|4.04|4.04|4.04|4.04|4.04|4.04|4.04|4.04|0|0|0|0|0|0
USPS|FIRST_CLASS|PACKAGE|14|4|4|4|4|4|4|4|4|4|0|0|0|0|0|0|4.15|4.15|4.15|4.15|4.15|4.15|4.15|4.15|4.15|0|0|0|0|0|0
USPS|FIRST_CLASS|PACKAGE|15|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|0|0|0|0|0|0|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25|4.25|0|0|0|0|0|0
USPS|FIRST_CLASS|PACKAGE|16|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|0|0|0|0|0|0|4.35|4.35|4.35|4.35|4.35|4.35|4.35|4.35|4.35|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|8|5.13|5.13|5.48|5.56|5.63|6.44|6.58|6.8|16.39|0|0|0|0|0|0|5.37|5.37|5.72|5.8|5.87|6.68|6.82|7.04|16.63|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|16|5.13|5.13|5.48|5.56|5.63|6.44|6.58|6.8|16.39|0|0|0|0|0|0|5.37|5.37|5.72|5.8|5.87|6.68|6.82|7.04|16.63|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|32|5.56|5.56|5.67|5.8|6.38|8.3|9.01|9.45|25.08|0|0|0|0|0|0|5.8|5.8|5.91|6.04|6.62|8.54|9.25|9.69|25.32|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|48|5.63|5.63|6.01|6.63|7.24|10.64|11.51|13.42|34.03|0|0|0|0|0|0|5.87|5.87|6.25|6.87|7.48|10.88|11.75|13.66|34.27|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|64|5.73|5.73|6.3|6.8|8.09|12.39|14.06|15.88|40.97|0|0|0|0|0|0|5.97|5.97|6.54|7.04|8.33|12.63|14.3|16.12|41.21|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|80|5.8|5.8|6.59|7.33|8.33|14.13|16.16|18.39|47.68|0|0|0|0|0|0|6.04|6.04|6.83|7.57|8.57|14.37|16.4|18.63|47.92|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|96|6.12|6.12|7.16|7.9|11.53|15.85|18.41|21.06|54.64|0|0|0|0|0|0|6.36|6.36|7.4|8.14|11.77|16.09|18.65|21.3|54.88|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|112|6.55|6.55|7.84|8.16|12.67|17.56|20.77|23.64|61.35|0|0|0|0|0|0|6.79|6.79|8.08|8.4|12.91|17.8|21.01|23.88|61.59|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|128|6.91|6.91|8.07|9.21|14.1|19.29|22.86|26.54|68.87|0|0|0|0|0|0|7.15|7.15|8.31|9.45|14.34|19.53|23.1|26.78|69.11|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|144|7.09|7.09|8.31|9.28|15.13|20.98|24.74|29.51|76.59|0|0|0|0|0|0|7.33|7.33|8.55|9.52|15.37|21.22|24.98|29.75|76.83|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|160|7.51|7.51|8.53|9.32|16.34|22.65|27.22|32.1|83.29|0|0|0|0|0|0|7.75|7.75|8.77|9.56|16.58|22.89|27.46|32.34|83.53|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|176|8.77|8.77|10.49|11.25|17.5|24.32|29.61|34.76|91|0|0|0|0|0|0|9.01|9.01|10.73|11.49|17.74|24.56|29.85|35|91.24|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|192|9.31|9.31|11.16|13.09|18.74|26.51|32.02|37.28|97.55|0|0|0|0|0|0|9.55|9.55|11.4|13.33|18.98|26.75|32.26|37.52|97.79|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|208|9.79|9.79|11.79|13.7|19.72|28.47|33.31|38.6|101.04|0|0|0|0|0|0|10.03|10.03|12.03|13.94|19.96|28.71|33.55|38.84|101.28|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|224|10.28|10.28|12.44|14.42|20.88|30.06|35.15|40.51|106.04|0|0|0|0|0|0|10.52|10.52|12.68|14.66|21.12|30.3|35.39|40.75|106.28|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|240|10.7|10.7|13.09|15.13|21.96|31.22|35.83|41.57|108.85|0|0|0|0|0|0|10.94|10.94|13.33|15.37|22.2|31.46|36.07|41.81|109.09|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|256|11.41|11.41|14.24|16.46|23.78|32.99|37.84|43.87|114.83|0|0|0|0|0|0|11.65|11.65|14.48|16.7|24.02|33.23|38.08|44.11|115.07|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|272|11.77|11.77|14.88|17.24|24.94|34.66|39.82|46.19|120.88|0|0|0|0|0|0|12.01|12.01|15.12|17.48|25.18|34.9|40.06|46.43|121.12|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|288|11.99|11.99|15.34|18.01|26.06|36.5|41.78|48.52|126.97|0|0|0|0|0|0|12.23|12.23|15.58|18.25|26.3|36.74|42.02|48.76|127.21|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|304|12.28|12.28|15.71|18.42|26.74|38.13|43.71|50.8|133|0|0|0|0|0|0|12.52|12.52|15.95|18.66|26.98|38.37|43.95|51.04|133.24|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|320|12.76|12.76|15.94|18.8|27.24|39.13|45.35|53.16|139.13|0|0|0|0|0|0|13|13|16.18|19.04|27.48|39.37|45.59|53.4|139.37|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|336|13.32|13.32|16.33|19.24|27.71|39.43|45.77|53.84|142.09|0|0|0|0|0|0|13.56|13.56|16.57|19.48|27.95|39.67|46.01|54.08|142.33|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|352|13.74|13.74|16.77|19.88|28.27|39.7|46.13|54.47|143.75|0|0|0|0|0|0|13.98|13.98|17.01|20.12|28.51|39.94|46.37|54.71|143.99|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|368|14.14|14.14|17.18|20.34|28.78|39.92|46.46|54.8|144.6|0|0|0|0|0|0|14.38|14.38|17.42|20.58|29.02|40.16|46.7|55.04|144.84|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|384|14.72|14.72|17.89|21.51|29.93|40.75|47.67|56.11|148.13|0|0|0|0|0|0|14.96|14.96|18.13|21.75|30.17|40.99|47.91|56.35|148.37|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|400|15.28|15.28|18.54|22.86|30.91|41.35|48.85|57.1|150.68|0|0|0|0|0|0|15.52|15.52|18.78|23.1|31.15|41.59|49.09|57.34|150.92|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|416|16.2|16.2|19.87|25.26|32.56|42.37|50.05|58.89|155.4|0|0|0|0|0|0|16.44|16.44|20.11|25.5|32.8|42.61|50.29|59.13|155.64|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|432|17.19|17.19|20.76|26.79|35.5|42.94|51.22|61.09|161.28|0|0|0|0|0|0|17.43|17.43|21|27.03|35.74|43.18|51.46|61.33|161.52|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|448|17.7|17.7|21.05|27.55|36.42|43.52|52.42|63.39|167.33|0|0|0|0|0|0|17.94|17.94|21.29|27.79|36.66|43.76|52.66|63.63|167.57|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|464|18.24|18.24|21.24|28.28|36.9|44.24|53.61|65.11|171.8|0|0|0|0|0|0|18.48|18.48|21.48|28.52|37.14|44.48|53.85|65.35|172.04|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|480|18.78|18.78|21.56|28.96|37.42|45.48|54.8|66.5|175.52|0|0|0|0|0|0|19.02|19.02|21.8|29.2|37.66|45.72|55.04|66.74|175.76|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|496|19.31|19.31|21.77|29.41|37.88|46.15|56|67.85|180.55|0|0|0|0|0|0|19.55|19.55|22.01|29.65|38.12|46.39|56.24|68.09|180.79|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|512|19.53|19.53|22.23|29.91|38.32|46.76|57.2|69.23|184.23|0|0|0|0|0|0|19.77|19.77|22.47|30.15|38.56|47|57.44|69.47|184.47|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|528|19.83|19.83|22.84|30.65|38.83|47.66|58.38|70.51|187.63|0|0|0|0|0|0|20.07|20.07|23.08|30.89|39.07|47.9|58.62|70.75|187.87|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|544|20.01|20.01|23.44|31.42|39.67|48.78|59.58|71.84|191.19|0|0|0|0|0|0|20.25|20.25|23.68|31.66|39.91|49.02|59.82|72.08|191.43|0|0|0|0|0|0
