Carrier|Service|Container Type|Weight Not Over Oz|Cost Zone 1|Cost Zone 2|Cost Zone 3|Cost Zone 4|Cost Zone 5|Cost Zone 6|Cost Zone 7|Cost Zone 8|Cost Zone 9|Cost Zone Ddu|Cost Zone Scf|Cost Zone Ndc|Cost Zone Ddu Out 48|Cost Zone Scf Out 48|Cost Zone Ndc Out 48|Charge Zone 1|Charge Zone 2|Charge Zone 3|Charge Zone 4|Charge Zone 5|Charge Zone 6|Charge Zone 7|Charge Zone 8|Charge Zone 9|Charge Zone Ddu|Charge Zone Scf|Charge Zone Ndc|Charge Zone Ddu Out 48|Charge Zone Scf Out 48|Charge Zone Ndc Out 48
USPS|PRIORITY_MAIL|PACKAGE|8|5.22|5.22|5.58|5.67|5.75|6.52|6.65|6.88|16.39|0|0|0|0|0|0|5.46|5.46|5.46|5.82|5.91|5.99|6.76|6.89|7.12|0|0|0|0|0|0
USPS|PSLW|PACKAGE|16|0|0|0|0|0|0|0|0|0|2.26|3.6|0|2.68|4.2|0|0|0|0|0|0|0|0|0|0|4.43|4.43|0|4.74|4.74|0
USPS|PSLW|PACKAGE|15|0|0|0|0|0|0|0|0|0|2.26|3.6|0|2.68|4.2|0|0|0|0|0|0|0|0|0|0|4.34|4.34|0|4.74|4.74|0
USPS|PSLW|PACKAGE|14|0|0|0|0|0|0|0|0|0|2.26|3.6|0|2.68|4.2|0|0|0|0|0|0|0|0|0|0|4.23|4.23|0|4.74|4.74|0
USPS|PSLW|PACKAGE|13|0|0|0|0|0|0|0|0|0|2.26|3.6|0|2.68|4.2|0|0|0|0|0|0|0|0|0|0|4.1|4.1|0|4.74|4.74|0
USPS|PSLW|PACKAGE|12|0|0|0|0|0|0|0|0|0|2.07|3.11|0|2.5|3.69|0|0|0|0|0|0|0|0|0|0|3.95|3.95|0|4.23|4.23|0
USPS|PSLW|PACKAGE|11|0|0|0|0|0|0|0|0|0|2.07|3.11|0|2.5|3.69|0|0|0|0|0|0|0|0|0|0|3.8|3.8|0|4.23|4.23|0
USPS|EXPRESS_MAIL|PACKAGE|752|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|736|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|720|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|704|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|688|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|672|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|656|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|640|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|624|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|608|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|592|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|576|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
